,teamid,hteam,ateam,sk,skty,skgrd,x1,y1,hh.mm.ss,hrot,arot,wonlost,hms2,strzn,attzone,speed
1,363,365,363,1,2,3,2.35,18.83,519886,5,1,0,520906,1,1,1020
2,365,365,363,1,2,6,6.33,19.96,539982,6,1,1,541032,5,6,1050
3,365,365,363,1,2,3,7.07,18.99,557792,6,1,0,558845,5,6,1053
4,363,365,363,1,2,3,1.73,19.72,574174,6,2,1,575451,1,5,1277
5,363,365,363,1,2,4,2.03,19.72,600882,6,2,0,602253,1,6,1371
6,365,365,363,1,2,2,2.54,18.91,625659,1,2,1,626813,1,5,1154
7,365,365,363,1,2,4,2.05,19.07,649886,1,2,0,650947,1,6,1061
8,363,365,363,1,2,5,7.06,19.01,669028,1,3,0,669979,5,1,951
9,365,365,363,1,2,3,1.9,19.14,691828,2,3,0,692913,1,1,1085
10,363,365,363,1,2,5,1.48,18.83,722996,2,4,0,724019,1,5,1023
11,365,365,363,1,2,6,6.8,19.07,748293,3,4,1,749447,5,1,1154
12,365,365,363,1,2,3,6.88,19.59,765859,3,4,1,766881,5,5,1022
13,365,365,363,1,2,4,6.38,18.91,786333,3,4,1,787356,5,5,1023
14,365,365,363,1,2,4,6.38,19.07,807640,3,4,1,808990,5,8,1350
15,365,365,363,1,2,3,6.91,19.14,960669,3,4,1,961688,5,5,1019
16,365,365,363,1,2,3,6.77,18.83,989174,3,4,0,990231,5,5,1057
17,363,365,363,1,2,3,1.79,18.48,1008065,3,5,0,1008960,1,5,895
18,365,365,363,1,3,1,5.38,18.91,1026745,4,5,0,1027929,6,5,1184
19,363,365,363,1,2,3,6.29,18.48,1045569,4,6,0,1046819,5,8,1250
20,365,365,363,1,2,5,2.15,18.91,1066517,5,6,1,1067605,1,5,1088
21,365,365,363,1,2,4,1.66,19.44,1092103,5,6,1,1093063,1,1,960
22,365,365,363,1,2,3,2.04,19.52,1221947,5,6,0,1222967,1,5,1020
23,363,365,363,1,2,4,2.54,18.48,1247768,5,1,0,1248755,1,1,987
24,365,365,363,1,2,1,5.19,18.76,1269359,6,1,0,1270765,6,1,1406
25,363,365,363,1,2,3,1.2,20.82,1283678,6,2,0,1285081,1,6,1403
26,365,365,363,1,2,3,2.51,18.37,1313511,1,2,0,1314591,1,6,1080
27,363,365,363,1,2,4,7.27,19.72,1333840,1,3,0,1334830,5,1,990
28,365,365,363,1,2,3,1.53,18.76,1361570,2,3,0,1362466,1,9,896
29,363,365,363,1,2,5,1.05,19.36,1387861,2,4,0,1388883,1,5,1022
30,365,365,363,1,2,6,6.58,18.76,1408744,3,4,1,1409866,5,6,1122
31,365,365,363,1,2,4,6.49,18.37,1427524,3,4,1,1428583,5,5,1059
32,365,365,363,1,2,2,6.88,18.99,1450727,3,4,1,1451649,5,5,922
33,365,365,363,1,2,4,6.52,19.22,1468509,3,4,0,1469565,5,5,1056
34,363,365,363,1,2,3,3.38,19.72,1487686,3,5,0,1488645,6,5,959
35,365,365,363,1,2,3,3.57,18.76,1521388,4,5,0,1522415,6,6,1027
36,363,365,363,1,2,1,6.6,20.82,1543277,4,6,0,1544620,5,1,1343
37,365,365,363,1,2,3,2.83,19.29,1560351,5,6,1,1561283,1,5,932
38,365,365,363,1,2,4,3.15,19.36,1791441,5,1,1,1792431,6,6,990
39,365,365,363,1,2,1,1.47,19.18,1826387,5,1,0,1827574,1,1,1187
40,363,365,363,1,2,6,1.84,19.89,1841567,5,2,1,1842890,1,6,1323
41,363,365,363,1,2,3,1.71,19.14,1857879,5,2,0,1859093,1,6,1214
42,365,365,363,1,2,3,1.52,19.18,1888079,6,2,1,1889071,1,6,992
43,365,365,363,1,2,4,2.12,18.83,1915481,6,2,0,1916443,1,9,962
44,363,365,363,1,2,3,7.09,19.29,1940210,6,3,1,1941281,5,6,1071
45,363,365,363,1,2,1,7.67,18.76,1967506,6,3,0,1968913,5,1,1407
46,365,365,363,1,2,3,2.06,18.83,1988599,1,3,1,1989527,1,7,928
47,365,365,363,1,2,5,1.57,19.36,2012341,1,3,1,2013238,1,5,897
48,365,365,363,1,2,4,0.92,19.54,2036080,1,3,1,2037040,1,5,960
49,365,365,363,1,2,3,2.06,20.27,2056628,1,3,1,2057620,1,5,992
50,365,365,363,1,2,5,1.08,18.83,2184015,1,3,1,2185104,1,5,1089
51,365,365,363,1,2,3,1.13,19.9,2209395,1,3,0,2210384,1,5,989
52,363,365,363,1,2,4,1.95,19.37,2233672,1,4,0,2234735,1,6,1063
53,365,365,363,1,2,6,1.66,19.9,2256581,2,4,1,2257540,1,9,959
54,365,365,363,1,2,4,1.51,19.36,2275344,2,4,0,2276303,1,1,959
55,363,365,363,1,2,3,3.34,18.6,2307115,2,5,1,2308041,6,6,926
56,363,365,363,1,2,3,3.58,18.99,2325923,2,5,1,2326914,6,7,991
57,363,365,363,1,2,1,2.44,19.29,2348715,2,5,0,2350733,1,5,2018
58,365,365,363,1,2,6,6.49,19.36,2369235,3,5,1,2370187,5,5,952
59,365,365,363,1,2,5,7.02,20.82,2386257,3,5,0,2387293,5,7,1036
60,363,365,363,1,2,4,6.7,19.37,2408171,3,6,0,2409258,5,1,1087
61,365,365,363,1,2,5,2.24,18.66,2435598,4,6,1,2436554,1,5,956
62,365,365,363,1,2,4,2.51,19.36,2458806,4,6,0,2459637,1,7,831
63,363,365,363,1,2,3,3.55,19.37,2480738,4,1,0,2481935,6,1,1197
64,365,365,363,1,2,3,2.36,18.66,2501297,5,1,1,2502257,1,6,960
65,365,365,363,1,2,1,2.15,19.54,2524449,5,1,0,2525759,1,1,1310
